,df.text,cl.cluster
150,FDA Classifies Previous Covidien Field Action For Its Trellis-6 and Trellis-8 Peripheral Infusion Systems as a... http://t.co/bB5hEemni6,7
154,"Kent, WA Firm Issues Allergy Alert on Undeclared Soy and Egg Allergens in Small Heart Strawberry Tray with Dev... http://t.co/5s5b0out1l",7
161,Pepperidge Farm Issues Voluntary Recall of Bagels in Select States Due to Undeclared Allergens: Pepperidge Far... http://t.co/Fw7pgyJHBh,7
163,National Choice Bakery Issues Allergy Alert on Undeclared Peanuts &amp; Tree Nuts in Bagels: National Choice Baker... http://t.co/Vr6bDhTfbW,7
164,Detox Transforms Health and Nutrition Issues Voluntary Nationwide Recall of Dietary Supplements Due to the Pre... http://t.co/39bGK15dVS,7
165,"Seeâ€™s Candies, Inc. Issues Allergy Alert on Undeclared Nuts in 8 Oz Classic Red Heart with Assorted Chocolates... http://t.co/hjKFFKUcKz",7
166,"Bimbo Bakeries USA Issues Allergy Alert and Voluntary Regional Recall of Thomasâ€™, Sara Lee and Jewel Bagels So... http://t.co/CH3MRsy0gB",7
169,"Middle East Bakery, Inc. Expands Allergy Alert Due to the Potential for Undeclared Soy in Select Lots of Josep... http://t.co/ZpWJ8PR0Vv",7
170,Christ Kitchen Issues Allergy Alert on Undeclared Milk in Blameless Blondies Cookie Bar: Christ Kitchen of Spo... http://t.co/AeIbdWuixy,7
171,"The Jefferson Street Bakery Issues Allergy Alert On Undeclared Milk In ""Amana Dinner Rolls"": The Jefferson Str... http://t.co/T0Y0VNOtbn",7
172,Wyked Labs Issues Voluntary Nationwide Recall of Eight Dietary Supplement Products Due to Presence of Prohormo... http://t.co/gKkxsMWr5e,7
175,"Middle East Bakery, Inc. Issues Allergy Alert due to the potential for Undeclared Soy in select lots of Joseph... http://t.co/nInyjV1XCZ",7
176,"Sole Grano LLC Issues Allergy Alert on Undeclared Almonds &amp; Wheat in: SOLE GRANO LLC of Fair Lawn, NJ is recal... http://t.co/olrCkINEvW",7
177,Flowers Foods Issues Allergy Alert and Voluntary Recall on Market Basket Original English Muffins Sold in Mass... http://t.co/TnUtxCDTXH,7
179,"Hamchorom, Inc. Issues Allergy Alert On Undeclared Milk and Egg In HAITAI Tayo and HAITAI Gyeran Crackers: Ham... http://t.co/PALlvmG5Yr",7
185,"Aron Streit, Inc. Issues Allergy Alert On Undeclared Milk Allergens In ""Streit's Dark Chocolate Coins"": Aron S... http://t.co/mRURbhc5Wt",7
189,"Lime Green Grocer, Inc. Issues Allergy Alert on Undeclared Soy in the Thai Delight Burrito: Lime Green Grocer,... http://t.co/TKqppEt6qs",7
190,Probar LLC Recalls Probar Base Frosted Peanut Butter Bars Due to Possible Presence of Undeclared Milk Allergen... http://t.co/P8N7SxI8Hl,7
191,Comunicado Actualizado: QueserÃ_a Bendita LLC Retira Quesos Frescos Y Crema Agria Debido a Posibles Riesgos Par... http://t.co/HS41adV1SM,7
192,"Korean Food Co. Issues Allergy Alert on Undeclared Shrimp in Mak Kimchi: Korean Food Co. in Irving, Texas is r... http://t.co/d5ob5YYjKl",7
194,"Cox Veterinary Laboratory, Inc. Issues Voluntary Recall of â€œGastroade Xtraâ€ù: Cox Veterinary Laboratory, Inc. i... http://t.co/WLZhmyJXya",7
197,Gonnella Baking Company Issues Allergy Alert on Undeclared Milk in Jewel Brand Gourmet Sandwich Rolls and Gonn... http://t.co/U032rsmBhf,7
203,"Garden Lites Issues Allergy Alert on Undeclared Peanuts in Garden Lites Kale &amp; Quinoa SoufflÃ©, Garden Lites So... http://t.co/L9dzQROGpL",7
204,Franklin Farms Issues Allergy Alert for Chili-Bean Veggiburgers Due to Undeclared Peanut Allergen: Franklin Fa... http://t.co/pJi0nvAyOh,7
205,H-E-B Issues a Voluntary Precautionary Recall on Specific H-E-B Homestyle White Corn Tortillas Due to the Poss... http://t.co/p4ckBYwh4v,7
206,Gilster - Mary Lee Corp. Issues an Allergen Alert for Undeclared Almonds in Market Pantry Honey &amp; Oat Mixers R... http://t.co/5YkxGDmd7S,7
213,Ohio City Foods Issues Allergy Alert on Undeclared Shellfish in Ravioli: We discovered through customer emails... http://t.co/Pw8Lv3jp2C,7
215,"Wallcur Practi-0.9% Sodium Chloride-IV Bags 50 mL, 250 mL, 500, mL, and 1000 mL Wallcur Practi-0.9% Sodium Chl... http://t.co/uIdho4P9AW",7
216,Taj Ethnic GourmetÂ® Brand Issues a Voluntary Recall for Certain Retail Lots of Indian Sauces Due to Potential ... http://t.co/SEHRXJyrpd,7
217,"Morningstar Farms Issues Allergy Alert and Voluntary, Precautionary Recall of Spicy Black Bean Burgers and Chi... http://t.co/EHi70EZuhK",7
219,Bidart Bros. Works with Federal and State Officials to Determine Source of Listeriosis-Associated Outbreak: To... http://t.co/miSkGTHHCN,7
220,Winn-Dixie Recalls Bakery Sour Cream Lemon Pies: Winn-Dixie today announced an immediate recall of the Winn-Di... http://t.co/KRB1VCFinE,7
222,H-E-B Issues a Voluntary Precautionary Recall For  Certain Single Serving Soups Due to Potential Undeclared Pe... http://t.co/4vKYTJmIXI,7
227,"Zilks Foods Issues Allergy Alert on Undeclared Peanuts in Hummus Products: Zilks Foods, LLC of Austin, TX is r... http://t.co/TIdrUzyBF9",7
229,Valeant Pharmaceutical North America LLC Issues Voluntary Nationwide Recall Of Virazole (Ribavirin Powder For ... http://t.co/iBo3lImbJl,7
232,"Jump Your Bones, Inc. Recalls Roo Bites (Cubes) Pet Treats: Jump Your Bones, Inc. of Boca Raton, Florida is vo... http://t.co/9XaAhLAefN",7
235,"John B. Sanfilippo &amp; Son, Inc. Voluntarily Recalls Fisher Brand 8 oz. Chopped Walnuts and Fisher Brand 8 oz. P... http://t.co/rKDIc1AoBV",7
236,"Burkmann Feeds, Danville, KY RECALLS 656-Layer Ration 20% Pellets Because of Possible Monensin Sodium Contamin... http://t.co/EXEu3J4u2F",7
237,"TEN BC LLC Issues Allergy Alert on Undeclared Peanuts in ""Tommyâ€™s Superfoods 10 oz. Santa Fe Rice"": TEN BC LLC... http://t.co/FbrOkKlYwB",7
242,"California Snack Foods Announces Recall of Karmâ€™l Dapples/All Styles: California Snack Foods, is issuing a vol... http://t.co/YxJWIOMAyx",7
246,Hospira Announces Voluntary Worldwide Recall of 10 Lots of Mitoxantrone Due to Confirmed Subpotency and Out-Of... http://t.co/Tqju6njPBP,7
247,"Kent, WA Firm Issues Allergy Alert on Undeclared Shellfish in Tofu Pad Thai Bowl and Thai Noodle Salad: Real F... http://t.co/aoCvgIiMIU",7
251,"Bethel Nutritional Consulting, Inc. Issues Nationwide Voluntary Recall of SLIM-K Capsules Due to Undeclared Dr... http://t.co/EKGvZ6uiqO",7
252,"Bethel Nutritional Consulting, Inc. Issues Nationwide Voluntary Recall of B-Lipo Capsules Due to the Presence ... http://t.co/1VdAjVCoNQ",7
254,"Zachary Confections, Inc. Announces a Nationwide Voluntary Recall of Market Pantry (Target) Dark Chocolate Cov... http://t.co/r6QPRQuTfH",7
260,"Whalenâ€™s Horseradish Products, Inc. Issues Allergy Alert on Undeclared Anchovy in Whalenâ€™s Seafood &amp; Burger Sa... http://t.co/LuwSd9LNxP",7
263,Alere Initiates Voluntary URGENT CORRECTION for Use of Alere INRatio and INRatio2 PT/INR Monitor System: Alere... http://t.co/kXdOaqWJE6,7
265,House of Flavors Issues Voluntary Recall Due to Possible Undeclared Dairy Allergen in Ciao Bella Dark Cocoa So... http://t.co/RNPUkF3Y77,7
266,"Abdallah Candies Announces the Voluntary Recall of Holiday Caramel Bites: Abdallah Candies of Burnsville, MN i... http://t.co/bICftMu23q",7
267,Lakeland Animal Nutrition Issues Voluntary Horse Feed Recall: Lakeland Animal Nutrition has been informed that... http://t.co/Se0Z235akC,7
269,Heart Sync Inc. Issues a Voluntary Device Correction for Multi-function Defibrillation Electrodes: Heart Sync ... http://t.co/cuWgmurP2S,7
273,CONMED Corporation Issues a Voluntary Device Correction for PadPro and R2 Multi-function Defibrillation Electr... http://t.co/M9T6BjVxcU,7
277,"Customed, Inc.  Issues Recall of Sterile Convenience Kits-Trays, Bags, and New Lots Added to the Previous Reca... http://t.co/9OoIkSKUF5",7
279,"Aurobindo Pharma USA, Inc. Issues Voluntary Nationwide Recall of Northstar Label Gabapentin Capsules, USP 300 ... http://t.co/0MGrHbnCbE",7
281,"Kozy Shack Enterprises, LLC Issues Allergen Alert on Unlabeled Foodservice Chocolate Pudding Cups: Kozy Shack ... http://t.co/SCDhekh6M4",7
283,Evershing International Trading Issues Allergy Alert on Undeclared Milk in Vinacafe Brand Coffee - Wake Up Wea... http://t.co/rDASJqq16t,7
284,"REFA Enterprises, LLC Issues Voluntary Nationwide Recall of Forever Beautiful Bee Pollen Due to Undeclared Sib... http://t.co/w8rSOWBjM2",7
286,"Solgar, Inc. Issues Voluntary Class I Recall of ABC Dophilus Powder: Solgar, Inc., of Leonia, NJ, is voluntari... http://t.co/ykWnzG0dNQ",7
287,B&amp;G Foods Issues Allergy Alert On Undeclared Peanut And Almond In Product: B&amp;G Foods announced today it is vol... http://t.co/r1pEyxTxEx,7
289,Philips Healthcare Announces Recall of Childrenâ€™s Medical Ventures Gel-E Donut / Squishon 2 Products: Children... http://t.co/An2UM9uIZU,7
290,Chaotic Labz Issues Voluntary Nationwide Recall of Mayhem Dietary Supplement Due to Undeclared Dexamethasone a... http://t.co/St77WHD7H4,7
291,"Marin Food Specialties, Inc. Initiates Voluntary Recall of: Marin Foods Specialties, Inc. of Byron, CA is volu... http://t.co/LsU2qjhM00",7
292,Schwartz Brothers Bakery Issues Allergy Alert on Undeclared Milk in â€œEverything Bagelsâ€ù: Schwartz Brothers Bak... http://t.co/kIJTsSLJJ8,7
294,House of Spices (India) Inc. ISSUES ALERT ON UNDECLARED SULFITES IN â€œGOLDEN RAISINâ€ù: House of Spices of Flushi... http://t.co/YNdwfQM0lQ,7
295,"Welcome Market, Inc. dba 99 Ranch Market Announces Recall of â€œTaro Toastâ€ù, â€œFamily Toastâ€ù, â€œU-Ta-Ne Toastâ€ù, â€œR... http://t.co/ct5PS6DBFU",7
299,Shur-Green Farms Issues Voluntary Nationwide Recall of Lascadoil/Soyoil  Due to Possible Lasalocid Contaminati... http://t.co/eHFpBT6mag,7
301,"Nutek Disposables, Inc. Issues Alert Due to Potential Bacteria in Baby Wipes: Nutek Disposables, Inc. of McElh... http://t.co/XfB7WKqeum",7
302,Lundberg Family Farms Recalls Sea Salt Rice Chips Due to Undeclared Allergen: Lundberg Family Farms announced ... http://t.co/XeLjXoR3jK,7
306,"Contract Packaging Resources, Inc. Issues a Voluntary Nationwide Recall of Assured Brand Naproxen Sodium Table... http://t.co/UbxFxMoK8r",7
307,JFC International Inc. Issues Allergy Alert on Undeclared Milk in 'Hapi Pudding': JFC International Inc. of Lo... http://t.co/OEt0ciyOEQ,7
308,"AMS Health Sciences, LLC Issues Voluntary Recall of Saba Shark Cartilage Complex, 60 Capsule Bottles Due to Po... http://t.co/B4puX0PknD",7
311,United Natural Trading LLC dba/ Woodstock Farms Manufacturing Issues Allergy Alert for Undeclared Peanuts in A... http://t.co/zQHQi0sqYo,7
312,"Publix Issues Voluntary Recall of Publix Asian Mix: Out of an abundance of caution, Publix Super Markets is is... http://t.co/npHWRm7pMS",7
313,New Hope Mills Issues Allergy Alert on Undeclared Soy in New Hope Mills Gluten Free Chia Pancake and Waffle Mi... http://t.co/chaqP2qOXY,7
314,Hospira Announces Voluntary Nationwide Recall Of Certain Lots of Several Lifecare Products Due To Potential Fo... http://t.co/siAOlKd2jG,7
315,"Real Foods Of Seattle, LLC Issues Allergy Alert On Undeclared Egg In Mexican Cheddar Dip: Real Foods of Seattl... http://t.co/JKpJ1xVOIn",7
317,Covidien Initiates Voluntary Field Safety Alert for Medi-Traceâ„¢ Cadence and Kendallâ„¢ Multi-function Defibrilla... http://t.co/kUbto8aooB,7
318,"California Olive And Vine Announces The Voluntary Recall Of Pumpkin Seed Pesto: California Olive and Vine, LLC... http://t.co/NZbqmCPzbo",7
319,"Allergy Alert On Undelcared Eggs In Lotte Waffles: LOTTE Confectionery Co., Ltd. (manufacturer), 21-5ka, Yangp... http://t.co/lZL2OCEMe0",7
320,"Oregon Compounding Centers, Inc. Issues Voluntary Recall of Unexpired Sterile Products in Oregon and Washingto... http://t.co/W30xg7liCR",7
324,J&amp;b European Distribution Inc. Issues Allergy Alert For Undeclared Milk In Kupiec Rice Cakes With Dark Chocola... http://t.co/L6y7Au030x,7
325,SAM Medical Products Implements Voluntary Recall of its Accessory (Axilla) Strap for the SAM Junctional Tourni... http://t.co/vjc9lMPIEZ,7
326,Markpol Distributors Inc. Issues Allergy Alert on Undeclared Milk in Kupiec Rice Cakes with Dark Chocolate: Ma... http://t.co/Vf4JDyl9ql,7
328,Tropical Valley Foods Issues Allergy Alert For Potentially Undeclared Peanuts In Next By Nature Dark Chocolate... http://t.co/k2qVVnH9Kh,7
329,"IKEA Recalls PASTAÃ„LGAR FULLKORN And PASTAÃ„LGAR, Due To Non-Declared Soy Content: If you have purchased PASTAA... http://t.co/GwTDByEqCm",7
332,"Dominguez Foods of Washington Inc. Issues Allergy Alert on Undeclared Wheat, Whey (Milk), and Soy in â€œSu Cocin... http://t.co/RwqXlhJTyw",7
333,The Original Soupman Issues Allergy Alert and Recall on Certain Lots of â€œThe Original Soupman Lobster Bisqueâ€ù:... http://t.co/GI3dQhvcoQ,7
337,Mars Chocolate North America Issues Allergy Alert Voluntary Recall On Undeclared Peanut Butter In M&amp;Ms Brand M... http://t.co/agd6itdbyB,7
340,"Gel Spice Company, Inc.  Issues A Voluntary Recall Of Fresh Finds Brand Ground Black Pepper, 3.53 oz (100 g), ... http://t.co/lR1MbqKoDv",7
342,Playtex Adds Production Lot To Its March 2014 Voluntary Recall Of Certain AC/DC Power Adapters Used With the P... http://t.co/MrQR54nTcD,7
344,"Publix Recalls Private Label Jalapeno Bagels: Out of an abundance of precaution, the company is issuing a volu... http://t.co/FAzwvpdxJG",7
346,Mars Chocolate North America Issues Allergy Alert Voluntary Recall on Undeclared Peanuts and Eggs in TWIXÃ‚Â® Bi... http://t.co/SmpTHs2gEB,7
347,"Pharmacy Creations Issues Voluntary Recall of Four Product Lots With Limited Distribution in Florida, New Jers... http://t.co/nOcAnERuyy",7
349,"La Orocovena Biscuit Voluntarily Recalls Pound Cake de Queso Due to Undeclared Milk, Soy and Wheat: Through th... http://t.co/ydmpQYchtg",7
350,Tjs Place recalls Basil Pesto Pasta because of potential health risk: Tjs Place of Kirkland Washington is volu... http://t.co/UPMB3DvjqV,7
351,"Martin Avenue Pharmacy, Inc. Issues a Voluntary Multi-State Recall of All Compounded Sterile Preparations Due ... http://t.co/z52GL00Z5A",7
352,"PEDIGREE Adult Complete Nutrition Limited Recall Due to Metal Fragments (Expanded): At PEDIGREE, we care about... http://t.co/I2xUTTYmsB",7
355,"Solace International, Inc. Issues Voluntary Nationwide Recall of Dermatend Original and Dermatend Ultra Due to... http://t.co/ntHbybCLxZ",7
358,Mars Petcare US Announces Voluntary Recall of 22 Bags of PEDIGREEÂ® Brand Adult Complete Nutrition for Dogs Sol... http://t.co/HXjaPhcQqE,7
359,"UPDATED: CloverSnareÂ™ 4-Loop Vascular Retrieval Snare Recall: On July 10, 2014, Cook Medical initiated a recal... http://t.co/rk4o5tpmup",7
360,Voluntary Recall Notice of Margaret Holmes 14.5 oz Turnip Greens and 14.5 oz Mixed Greens Due to Questionable ... http://t.co/6VDeu2JJ0i,7
361,"Customed, Inc. Issues Recall of Sterile Convenience Surgical Packs: On June 3rd, 2014 Customed, Inc. initiated... http://t.co/YYrtW0aX5a",7
362,NestlÃ© Prepared Foods Company Announces Allergy Alert and Voluntary Recall Of LEAN CUISINEÂ® Culinary Collectio... http://t.co/LGb39do04n,7
363,"CloverSnareâ„¢ 4-Loop Vascular Retrieval Snare Recall: On July 10, 2014, Cook Medical initiated a recall of 696 ... http://t.co/GIQhYUChOi",7
366,Amgen Issues Voluntary Recall of AranespÃ‚Â® (darbepoetin alfa) (500 mcg) Prefilled Syringes in Several Countrie... http://t.co/SEggjGcwLE,7
373,Seoul Shik Poom Inc. Issues Allergy Alert on Undeclared Eggs in Choripdong Chocolate Almond Richmond Ice Bar: ... http://t.co/BmyFMWaFbd,7
375,Ortho Molecular Products Issues Allergy Alert On Undeclared Milk In Lifecore Chocolate And Lifecore Complete C... http://t.co/G1Wujo0BOc,7
385,Starway Inc. Issues an Alert on Undeclared Sulfites in Peony Mark Brand Roasted and Salted Pumpkin Seeds: Star... http://t.co/xHNbxl7VBb,7
390,"Dancing Star LLC, Buckland, MA 01338 Issues Voluntary Recall For Various Snacks Because They Contain Organic C... http://t.co/AlysyeMmej",7
392,"Lion Pavilion Issues Alert on Undeclared Sulfites in Tasty Peach Slices: LION PAVILION LTD. of Maspeth, NY is ... http://t.co/x1I4rAjDi0",7
397,"Unique Pharmaceuticals, Ltd. Announces a Voluntary Nationwide Recall of all Sterile Compounded Preparations Wi... http://t.co/pCfz54PPnw",7
399,"Updated: Voluntary Nationwide Recall of Tattoo Ink, Tattoo Needles, Tattoo kits due to Microbial contamination... http://t.co/9RJSCMnCcO",7
401,"King of Pops Charleston SC Issues Allergen Alert on Undeclared: Soy, Milk, Egg and Wheat: King of Pops of Char... http://t.co/AcxiZK6sjQ",7
402,"Voluntary Nationwide Recall of Tattoo Ink, Tattoo Needles, Tattoo kits Due to Microbial Contamination: July 11... http://t.co/R9jrVnJpaf",7
406,"Vascular Solutions, Inc. Issues Recall of Langston Dual Lumen Catheters: Vascular Solutions, Inc. initiated a ... http://t.co/9IzDy3HsCV",7
407,FDA Classifies ConvaTecâ€™s Voluntary Global Recall of Flexi-Sealâ„¢ CONTROL Fecal Management System (FMS) as Clas... http://t.co/zH0lWEKQ2g,7
408,Cargill Conducts Voluntary Recall of Select NutrenaÂ® NatureWiseÂ® Meatbird Feed Due to Possible Animal Health R... http://t.co/nYofKA4c6P,7
410,"Flowers Foods Issues Allergy Alert and Voluntary Recall on Limited Quantity of Sunbeam, Bunny, Flowers Deli, a... http://t.co/kFhRTsj8nt",7
411,Bristol-Myers Squibb Issues Voluntary Nationwide Recall of COUMADIN (Warfarin Sodium) for Injection Due to Pre... http://t.co/iCNIZGo6nq,7
415,Doctorâ€™s Best Issues Voluntary Nationwide Recall of Red Yeast Rice due to Undeclared Lovastatin: Doctorâ€™s Best... http://t.co/qUMFOXDsWT,7
417,"NDC Implements Voluntary Recall of the Hydrofinityâ„¢ Hydrophilic Guidewire: Nitinol Devices &amp; Components, Inc. ... http://t.co/Egvx0aoHMV",7
420,Domega NY International Co Ltd Issues Allergy Alert On Undeclared Peanuts And Milk In Gong Xifacai Gift Chocol... http://t.co/ZerEGr17Ib,7
421,"Wegmans Food Markets, Inc. Issues Allergy Alert on Undeclared Egg in Wegmans Cinnamon Raisin Buns, 12 oz.: Weg... http://t.co/OJ06wLiqlQ",7
422,Schnucks Bakery Recalls Devilâ€™s Food Cakes Topped With Undeclared Pecans: Schnucks Bakery has issued a volunta... http://t.co/VNbUhgtvDJ,7
424,La Finquita Emite Una Alerta De Alergias Debido A Una Contaminacion Potencial De Mani O Cacahuate Y Frutos Sec... http://t.co/o1ws1hv0a4,7
425,"Fish Family Farm, Inc. Issues Allergy Alert On Milk Products And Cream Due To Potential Peanut And Tree Nut Co... http://t.co/9Veh7hTLkw",7
427,"Voluntary Product Recall:  Wegmans Bagged Ice Due to Possible Metal Fragments - Sold in VA, MD, NJ, and some P... http://t.co/UQCxQsnFaU",7
428,"Princess House, Inc. hace un retiro voluntario de los Platos pequeÃ±os Marissa color mandarina debido a niveles... http://t.co/vEbNWYytjz",7
429,"Allergy Alert on Undeclared Milk in Dark Old Fashioned Sponge Candy: Eillien's Candies, Inc. is voluntarily re... http://t.co/Nd0XH9Hux5",7
430,"Diabetic Supply of Suncoast, Inc. issues a Nationwide Voluntary Recall of BMB-BA006A Advocate Redi-Code+ Blood... http://t.co/hO0YoPNBXI",7
432,Dole Packaged Foods Recalls Roasted Garlic Tomato Basil Soup in Texas Due to Undeclared Milk Allergen: Dole Pa... http://t.co/I8HZTXBjUs,7
434,Olde Thompson Inc. Issues a Voluntary Recall of Kirkland Signature Coarse Ground Malabar Pepper 12.7 oz Plasti... http://t.co/qmjUWuYjDA,7
437,"PGG/HSC Feed Company LLC Issues Voluntary Recall of Champion Lamb Texturized Feed B30, Lot-88022114M908840: HE... http://t.co/Fdt6ePLW60",7
441,Baptistaâ€™s Bakery Inc. Issues Voluntary Recall for LiveGfree Rosemary and Olive Oil Multiseed Snack Crackers: ... http://t.co/zCjnRJ8aC9,7
446,"Eugene Oregon, Inc. Issues Voluntary Nationwide Expansion Of The Recall Of All Lots Of African Black Ant, Blac... http://t.co/G8uaqSfix6",7
447,"American Importing Co, Inc Issues Allergy Alert On Undeclared Almonds Mispacked As Cinnamon Crunch Granola: Am... http://t.co/481Yyt5fsL",7
452,Brunkow Cheese Issues Allergy Alert On Undeclared Soy In Jalapeno Pepper Raw Milk Cheddar Cold Pack Cheese: Br... http://t.co/Qd6joSJEoF,7
454,Kind Healthy Snacks Issues Allergy Alert Due to Potential Presence of Peanut Protein in Strong and Kind Bars a... http://t.co/OmI4Jia9D1,7
455,Voluntary Nationwide and Canada Recall of NaturaLyteÂ® Liquid Bicarbonate Concentrate Due to Potential Health R... http://t.co/imZ4emMJMM,7
458,"Middle East Bakery, Inc. Issues Allergy Alert on Undeclared Milk in Market Basket Dairy-free, Gluten-free Panc... http://t.co/AG2m9m2rOE",7
460,WhiteWave Foods Issues Allergy Alert on Undeclared Almondmilk in Half Gallon Silk Light Original Soymilk Conta... http://t.co/dD0yiePNZ3,7
461,"Allergy Alert on Undeclared Milk in Pancakes: American Waffle Company of Clayton, Delaware is voluntarily reca... http://t.co/F63PctavS2",7
467,"Surma Distributors LLC, Issues Alert On Undeclared Sulfites In Haque Brand Golden Raisins: Surma Distributors ... http://t.co/8TwgMxygZO",7
468,Domega Ny International Co Ltd Issues Allergy Alert On Undecleared Eggs In Brilliant Cake With Filling Milk (b... http://t.co/UaEzoMJJGu,7
469,Domega NY International Co LTD Issues Allergy Alert On Undeclared Peanuts In YF Sesame Flavor Cracker: DOMEGA ... http://t.co/ZrZPTO3RZC,7
470,Stonyfield Extends Voluntary Recall of YoBaby Peach/Pear Yogurt Cup 6-packs to 271 Additional Stores in 6 West... http://t.co/tqRVZNqYoe,7
471,Strong America Limited ISSUES ALLERGY ALERT ON UNDECLARED EGG IN â€œGolden Smell Hotpot Meat Ball Medleyâ€ù: Stron... http://t.co/hJS8XWS4Rd,7
472,"Datascope Corp/MAQUET Issues Worldwide Voluntary Recall of the System 98/98XT, CS100, CS100i and CS300 Intra-A... http://t.co/IAuLKyZiEb",7
474,MDA Issues Consumer Advisory for Five Flavors of Lily Bloomâ€™s Kitchen Poparoons Milk Ingredient was Undeclared... http://t.co/LHuozHUgWs,7
475,"Alere Initiates Voluntary URGENT PRODUCT RECALL of Alere INRatio 2 PT/INR Professional Test Strips: WALTHAM, M... http://t.co/GCqtx4WPPA",7
476,"Eugene Oregon, Inc. Issues Voluntary Nationwide Recall of African Black Ant, Black Ant, and Mojo Risen Dietary... http://t.co/Jtp5tY646Z",7
481,"Hospira Announces Urgent Nationwide Medical Device Correction For Gemstar Docking Station: Hospira, Inc. (NYSE... http://t.co/g6Rs3uAdl7",7
482,NOH Foods Of Hawaii Issues Allergy Alert On Undeclared Milk In Hawaiian Coconut Pudding Haupia (LUAU Dessert):... http://t.co/92voLhectR,7
485,"Flawless Beauty and Skin Issues Voluntary USA Recall of Unapproved Drugs: Asbury Park, NJ, Flawless Beauty and... http://t.co/JvcPfQQ15M",7
486,Stonyfield Announces Voluntary Recall of 188 6-packs of Yobaby Peach/Pear Yogurt Cups from 40 Target Stores in... http://t.co/0FYYordWSC,7
488,Nano Well-being Health Inc. Issues Voluntary Nationwide Recall of Super Arthgold Due to Undeclared Ingredients... http://t.co/9ORATZq0u2,7
489,"Dominex Natural Foods, LLC, Issues Voluntary Recall Due to Possible Undeclared Nut Allergen in AngelBowls bran... http://t.co/xBSs4IrWID",7
491,"Wegmans Food Markets, Inc. Issues Allergy Alert on Undeclared Egg in Wegmans Easter Bread, 17 oz.: Wegmans Foo... http://t.co/KMhrbJjalZ",7
53,Hospira Issues A Voluntary Nationwide Recall Of One Lot Of Bupivacaine HCl Injection Due To Potential Iron Oxi... http://t.co/eMHCobyXxH,6
124,Hospira Issues a Voluntary Nationwide Recall of One Lot of Lactated Ringer's Irrigation Due to Mold Contaminat... http://t.co/QDshFhFJBE,6
126,Hospira Issues a Voluntary Nationwide Recall of One Lot of Magnesium Sulfate in 5% Dextrose Injection Due to I... http://t.co/FEIKUGu5Wt,6
127,"Hospira Issues A Voluntary Nationwide Recall of One Lot of 0.9% Sodium Chloride Injection, USP, 250 mL VisIV C... http://t.co/GAme7yHilk",6
195,"Hospira Issues a Voluntary Nationwide Recall of One Lot of 0.9% Sodium Chloride Injection, USP, 250 mL Due to ... http://t.co/ZHU4jXFdbV",6
309,"Hospira Announces Voluntary Nationwide Recall Of One Lot Of 1% Lidocaine HCI Injection, USP 10 MG Per ML, 30 M... http://t.co/XGfrGFphCk",6
322,"Hospira Issues a Voluntary Nationwide Recall of One Lot of Vancomycin Hydrochloride for Injection USP, Equival... http://t.co/M8Y7vfkhhx",6
343,"Hospira Issues a Voluntary Nationwide Recall of One Lot of Heparin Sodium, 1,000 USP Heparin Units/500 mL (2 U... http://t.co/o2ZzBN3eCN",6
383,"Hospira Announces Voluntary Nationwide Recall Of One Lot Of Lidocaine HCI Injection, USP, 2 percent, 20 mg per... http://t.co/100AKYSd9w",6
403,"Hospira Issues Voluntary Nationwide Recall Of One Lot Of Lactated Ringers And 5% Dextrose Injection, Usp, 1000... http://t.co/EUa721DUI1",6
419,"Hospira Announces Voluntary Nationwide Recall of One Lot of 0.5% Marcaineâ„¢ (Bupivacaine HCI Injection, USP), 3... http://t.co/S6bDrjV1FZ",6
462,"Hospira Announces Voluntary Nationwide Recall Of One Lot Of Labetalol Hydrochloride Injection, USP, 100 MG/20 ... http://t.co/2O9SUiEluO",6
465,"Hospira Announces Voluntary Nationwide Recall Of One Lot Of Dobutamine Injection, USP, 250 MG, 20 ML, Single-D... http://t.co/KdPbkfoEk8",6
490,"Hospira Announces Voluntary Nationwide Recall of One Lot of 0.25% Marcaineâ„¢ (Bupivacaine HCI Injection, USP), ... http://t.co/VJi0fHYah6",6
12,Natural GrocersÂ® expands recall of Macadamia Nuts due to possible health risk: Vitamin Cottage Natural Food Ma... http://t.co/zD8jIo4O2q,5
26,Natural GrocersÂ® issues recall of Macadamia Nuts due to possible health risk: Vitamin Cottage Natural Food Mar... http://t.co/mz8zMawdJX,5
35,"Aurora Products, Inc. Announces Voluntarily Recall of Aurora Natural Brand and Certain Private Label Branded R... http://t.co/m8bsLYNAXi",5
91,"Aurora Products, Inc. Expands Voluntary Product Recall to Include One Additional Private Label Branded Custome... http://t.co/XwL5IuMlAo",5
92,"Aurora Products, Inc. Expands Voluntary Product Recall to Include Certain Private Label Branded Walnut and Tra... http://t.co/HvoP63UDAO",5
106,"Aurora Products, Inc. Voluntarily Recalls Certain Aurora Natural Brand and Certain Private Label Brand Walnuts... http://t.co/q2t7QKs9Hs",5
112,Natural Grocers expands recall on Organic Garlic Powder due to possible health risk: Vitamin Cottage Natural F... http://t.co/LWFinXxauZ,5
114,Natural Grocers by Vitamin Cottage Expands Recall on Organic Garlic Powder Due to Possible Health Risk: Vitami... http://t.co/LxelJ8l7EP,5
153,Natural Grocers by Vitamin Cottage Issues Recall on Organic Garlic Powder Due to Possible Health Risk: Vitamin... http://t.co/gk7dRXWv5H,5
